date	time	high_res_temperature	humidity	pressure	light	IR_intensity	Full_Spectrum	Visible_Light	low_res_temperature
2020-04-30	13:33:02	27.8125	26.262	1.0184076	10	96	351	255	27.76
2020-04-30	13:34:01	27.75	26.107	1.0184596	10	101	363	262	27.68
2020-04-30	13:35:02	27.8125	26.124	1.0183703	10	101	362	261	27.77
2020-04-30	13:36:01	27.9375	26.021	1.018424	10	101	363	262	27.8
2020-04-30	13:37:01	27.9375	25.992	1.0184035	10	100	361	261	27.89
2020-04-30	13:38:02	28.0625	26.017	1.0184493	10	100	361	261	27.92
2020-04-30	13:39:01	27.9375	25.853	1.0184052	10	98	358	260	27.89
2020-04-30	13:40:02	28.0	25.889	1.0183917	10	97	354	257	27.9
2020-04-30	13:41:02	28.0625	25.89	1.0183921	10	97	355	258	27.91
2020-04-30	13:42:01	28.0	25.878	1.0183577	10	98	358	260	27.92
2020-04-30	13:43:02	27.9375	25.874	1.0183728	9	99	351	252	27.85
2020-04-30	13:44:02	27.875	26.091	1.0183652	9	95	334	239	27.8
2020-04-30	13:45:01	27.875	25.976	1.0183795	9	95	336	241	27.8
2020-04-30	13:46:02	27.75	26.19	1.0182988	9	100	352	252	27.71
2020-04-30	13:47:02	28.0	26.172	1.0182744	9	97	342	245	27.8
2020-04-30	13:48:01	27.8125	26.156	1.0182648	9	91	325	234	27.74
2020-04-30	13:49:02	27.8125	26.002	1.0182689	9	95	335	240	27.67
2020-04-30	13:50:02	27.875	25.916	1.0182241	10	101	359	258	27.77
2020-04-30	13:51:01	27.9375	26.291	1.0182257	9	90	326	236	27.87
2020-04-30	13:52:02	27.9375	25.988	1.0182295	9	96	346	250	27.82
2020-04-30	13:53:02	28.0	25.818	1.0181811	9	99	353	254	27.87
2020-04-30	13:54:01	27.875	25.897	1.0181501	9	94	342	248	27.84
2020-04-30	13:55:02	27.9375	25.944	1.0182072	9	95	343	248	27.86
2020-04-30	13:56:01	27.9375	25.884	1.0181908	9	89	333	244	27.83
2020-04-30	13:57:02	28.0	25.876	1.0182455	9	90	324	234	27.89
2020-04-30	13:58:02	28.0	25.84	1.018235	9	91	327	236	27.86
2020-04-30	13:59:01	28.0	25.92	1.0181871	9	91	326	235	27.85
2020-04-30	14:00:02	27.875	25.927	1.0181437	9	89	329	240	27.76
2020-04-30	14:01:02	27.8125	25.936	1.0180601	9	95	343	248	27.72
2020-04-30	14:02:01	27.875	25.926	1.0180521	9	100	350	250	27.74
2020-04-30	14:03:02	27.875	25.904	1.0180546	9	90	334	244	27.76
2020-04-30	14:04:02	27.8125	25.89	1.0180618	9	87	326	239	27.72
2020-04-30	14:05:01	27.75	26.025	1.018092	9	90	332	242	27.65
2020-04-30	14:06:02	27.875	25.947	1.0180928	9	89	329	240	27.72
2020-04-30	14:07:01	27.9375	25.931	1.0180462	9	90	329	239	27.84
2020-04-30	14:08:02	27.875	25.904	1.018037	9	85	319	234	27.77
2020-04-30	14:09:02	27.8125	25.934	1.0180358	8	87	315	228	27.7
2020-04-30	14:10:01	27.75	26.114	1.0180067	8	79	287	208	27.6
2020-04-30	14:11:02	27.8125	25.98	1.0179076	9	88	327	239	27.68
2020-04-30	14:12:02	27.8125	25.936	1.017945	9	89	334	245	27.71
2020-04-30	14:13:01	27.8125	25.889	1.01795	9	89	334	245	27.71
2020-04-30	14:14:02	27.75	25.979	1.0179496	9	85	328	243	27.66
2020-04-30	14:15:01	27.5625	26.121	1.017963	9	88	331	243	27.52
2020-04-30	14:16:01	27.625	26.144	1.0180134	9	85	325	240	27.53
2020-04-30	14:17:02	27.5625	26.144	1.0180521	9	86	330	244	27.52
2020-04-30	14:18:01	27.5	26.162	1.0180054	9	85	326	241	27.44
2020-04-30	14:19:02	27.5	26.186	1.0180416	9	84	324	240	27.45
2020-04-30	14:20:02	27.5625	26.118	1.0179494	10	93	348	255	27.48
2020-04-30	14:21:01	27.5625	26.084	1.01792	9	92	343	251	27.48
2020-04-30	14:22:02	27.5625	26.073	1.0179869	9	87	332	245	27.49
2020-04-30	14:23:02	27.5	26.126	1.0180117	9	90	338	248	27.42
2020-04-30	14:24:01	27.5625	26.085	1.0179953	9	90	338	248	27.5
2020-04-30	14:25:02	27.5	26.139	1.0179696	9	86	330	244	27.44
2020-04-30	14:26:02	27.5	26.104	1.0180385	9	82	318	236	27.42
2020-04-30	14:27:01	27.5625	26.084	1.0180091	9	81	309	228	27.47
2020-04-30	14:28:02	27.4375	26.092	1.0179839	8	77	296	219	27.42
2020-04-30	14:29:01	27.5625	26.07	1.0181154	8	75	293	218	27.45
2020-04-30	14:30:01	27.5625	26.037	1.0181007	8	77	297	220	27.48
2020-04-30	14:31:02	27.5625	26.016	1.018133	6	58	218	160	27.5
2020-04-30	14:32:01	27.5625	26.175	1.0181729	8	77	296	219	27.46
2020-04-30	14:33:02	27.375	26.353	1.0182092	5	44	178	134	27.34
2020-04-30	14:34:02	27.25	26.368	1.018164	5	44	179	135	27.21
2020-04-30	14:35:01	27.125	26.44	1.0181477	5	44	178	134	27.05
2020-04-30	14:36:02	27.0	26.721	1.0181531	5	44	176	132	26.93
2020-04-30	14:37:02	26.9375	26.923	1.0181225	5	47	185	138	26.84
2020-04-30	14:38:01	26.875	27.056	1.0180911	5	47	184	137	26.76
2020-04-30	14:39:02	26.875	27.182	1.018066	5	46	181	135	26.73
2020-04-30	14:40:01	26.8125	27.239	1.0180268	5	46	182	136	26.72
2020-04-30	14:41:01	26.8125	27.089	1.0180545	5	46	180	134	26.72
2020-04-30	14:42:02	26.8125	27.195	1.01805	5	43	176	133	26.75
2020-04-30	14:43:01	26.8125	27.228	1.0180483	5	44	176	132	26.73
2020-04-30	14:44:02	26.8125	27.329	1.0180724	5	46	181	135	26.69
2020-04-30	14:45:02	26.75	27.281	1.0180609	5	44	176	132	26.65
2020-04-30	14:46:01	26.75	27.36	1.0179744	5	46	180	134	26.62
2020-04-30	14:47:02	26.8125	27.227	1.0180495	5	46	182	136	26.71
2020-04-30	14:48:02	26.75	27.342	1.0179798	5	48	184	136	26.71
2020-04-30	14:49:01	26.8125	27.364	1.0179675	5	46	183	137	26.69
2020-04-30	14:50:02	26.75	27.351	1.0179339	5	46	180	134	26.66
2020-04-30	14:51:01	26.8125	27.317	1.0179566	5	48	187	139	26.68
